,id_cliente,Churn,cliente.genero,cliente.idoso,cliente.parceiro,cliente.dependentes,cliente.tempo_servico,telefone.servico_telefone,telefone.varias_linhas,internet.servico_internet,internet.seguranca_online,internet.backup_online,internet.protecao_dispositivo,internet.suporte_tecnico,internet.tv_streaming,internet.filmes_streaming,conta.contrato,conta.faturamente_eletronico,conta.metodo_pagamento,conta.cobranca.mensal,conta.cobranca.Total
0,0003-MKNFE,nao,masculino,0,nao,nao,9.0,sim,sim,DSL,nao,nao,nao,nao,nao,sim,mes a mes,nao,cheque pelo correio,59.9,542.4
1,0004-TLHLJ,sim,masculino,0,nao,nao,4.0,sim,nao,fibra otica,nao,nao,sim,nao,nao,nao,mes a mes,sim,cheque eletronico,73.9,280.85
2,0011-IGKFF,sim,masculino,1,sim,nao,13.0,sim,nao,fibra otica,nao,sim,sim,nao,sim,sim,mes a mes,sim,cheque eletronico,98.0,1237.85
3,0013-EXCHZ,sim,feminino,1,sim,nao,3.0,sim,nao,fibra otica,nao,nao,nao,sim,sim,nao,mes a mes,sim,cheque pelo correio,83.9,267.4
4,0013-MHZWF,nao,feminino,0,nao,sim,9.0,sim,nao,DSL,nao,nao,nao,sim,sim,sim,mes a mes,sim,cartao de credito (automatico),69.4,571.45
5,0013-SMEOE,nao,feminino,1,sim,nao,71.0,sim,nao,fibra otica,sim,sim,sim,sim,sim,sim,dois anos,sim,transferencia bancaria (automatica),109.7,7904.25
6,0014-BMAQU,nao,masculino,0,sim,nao,63.0,sim,sim,fibra otica,sim,nao,nao,sim,nao,nao,dois anos,sim,cartao de credito (automatico),84.65,5377.8
7,0015-UOCOJ,nao,feminino,1,nao,nao,7.0,sim,nao,DSL,sim,nao,nao,nao,nao,nao,mes a mes,sim,cheque eletronico,48.2,340.35
8,0016-QLJIS,nao,feminino,0,sim,sim,66.0,sim,sim,DSL,sim,sim,sim,sim,sim,sim,dois anos,sim,cheque pelo correio,90.45,5957.9
9,0017-DInaoC,nao,masculino,0,nao,nao,54.0,nao,sem servico de telefone,DSL,sim,nao,nao,sim,sim,nao,dois anos,nao,cartao de credito (automatico),45.2,2460.55
10,0017-IUDMW,nao,feminino,0,sim,sim,72.0,sim,sim,fibra otica,sim,sim,sim,sim,sim,sim,dois anos,sim,cartao de credito (automatico),116.8,8456.75
